Type,Tipo
Open Customer Display,Abrir Pantalla de Cliente
Open Payments?,Abrir Pagos?
Open balance to collect,Saldo abierto por cobrar
Open invoices,Facturas abiertas
Opening Cash,Efectivo de Apertura
Original,Original
Other,Otro
Out,Salida
Out of Stock,Agotado
Overdue,Vencido
POS Expense is disabled for this POS Profile.,Gasto POS deshabilitado.
Packing List,Lista de Empaque
Page Format,Formato de Pagina
Parent Item,Artículo Padre
Partial,Parcial
Partly Paid,Parcialmente Pagado
Pay,Pagar
Payment,Pago
Payment Entry is already created or payment account is not matched,La entrada de pago ya existe o la cuenta no coincide
Payment Gateway Account not found,No se encontro cuenta de pasarela de pago
Payment History,Historial de Pagos
Payment Method Report,Informe de Metodo de Pago
Payment Progress,Progreso de Pago
Payment Request for {0},Solicitud de Pago para {0}
Payment State,Estado de Pago
Payment Status,Estado de Pago
Payment Summary,Resumen de Pago
Payment amount cannot be less than or equal to 0,El monto del pago no puede ser menor o igual a 0
Payments are not open. Do you want to open payments and submit?,Los pagos no estan abiertos. Quiere abrir pagos y enviar?
Payments by Mode of Payment,Pagos por Metodo de Pago
Peak Hour,Hora Punta
Peak Memory:,Memoria Pico:
Peak Server:,Servidor Pico:
Peak:,Pico:
Pending Amount,Monto Pendiente
Pending Sync,Sincronizacion Pendiente
Per Page,Por Pagina
Please add at least one item.,Por favor agregue al menos un articulo.
Please enter payment amount,Por favor ingrese monto del pago
Please enter the phone number first,Por favor ingrese el numero de teléfono primero
Please fill all required fields,Por favor complete todos los campos requeridos
Please select a customer before reconciling.,Por favor seleccione un cliente antes de conciliar.
Please select the customer.,Por favor seleccione el cliente.
Please set Default Payable Account in Company {0},Por favor configure Cuenta Pagadera Predeterminada en Empresa {0}
Please set default account for Mode of Payment {0} in company {1},Por favor configure cuenta predeterminada para Metodo de Pago {0} en empresa {1}
Please try again or enter the item manually.,Por favor intente de nuevo o ingrese el articulo manualmente.
Popup blocked. Please allow popups.,Ventana emergente bloqueada.
Posting,Publicacion
Posting and Price List,Publicacion y Lista de Precios
Previous unit of measure,Unidad de medida anterior
Price List Rate,Tasa de Lista de Precios
Price List is required,Se requiere lista de precios
Pricing Rule,Regla de Precios
Print,Imprimir
Print Format,Formato de Impresion
Print Format (Invoice),Formato de Impresion (Factura)
Print Format (Order),Formato de Impresion (Orden)
Print Purchase Invoice instead of PO,Imprimir Factura de Compra en lugar de OC
Printer,Impresora
Processed returns impacting the shift totals,Devoluciones procesadas que afectan los totales del turno
Procurement,Adquisiciones
Products,Productos
Profile,Perfil
Profiles,Perfiles
Profit,Ganancia
Profitability Report,Informe de Rentabilidad
Purchase Amount,Monto de Compra
Purchase Invoices,Facturas de Compra
Purchase Order,Orden de Compra
Purchase Order Date,Fecha de Orden de Compra
Purchase Order created,Orden de Compra creada
Purchase Order {0} has been saved as Draft. Error: {1},La orden de compra {0} ha sido guardada como borrador. Error: {1}
Purchase order requires at least one item with quantity.,La orden de compra requiere al menos un articulo con cantidad.
Purchase order requires at least one item.,La orden de compra requiere al menos un articulo.
Purchase orders,Ordenes de Compra
QZ Certificate Missing,Certificado QZ Faltante
QZ Certificate Ready,Certificado QZ Listo
QZ Tray Setup,Configuracion de QZ Tray
QZ Tray certificate not found. Ask an administrator to run Setup QZ Certificate.,No se encontro certificado QZ.
QZ Tray connected.,QZ Tray conectado.
QZ Tray is not connected.,QZ Tray no esta conectado.
QZ certificate already exists.,El certificado QZ ya existe.
QZ certificate generated successfully.,Certificado QZ generado exitosamente.
Qty,Cant.
Qualified,Calificado
Quantity,Cantidad
Quantity exceeds available stock,La cantidad excede el inventario disponible
Rate adjusted to maximum allowed discount,Tasa ajustada al maximo descuento permitido
Ready,Listo
Real-time POS insights for retail operations.,Informacion de POS en tiempo real para operaciones minoristas.
Receive now,Recibir ahora
Receive stock,Recibir inventario
Received,Recibido
Recent Movement Entries,Entradas de Movimiento Recientes
Recent updates about your invoices,Actualizaciones recientes sobre sus facturas
Recently Active Customers,Clientes Recientemente Activos
Reconciling Payments,Conciliando Pagos
Redeem Credit,Canjear Credito
Redeem Loyalty Points,Canjear Puntos de Lealtad
Redeemed Customer Credit,Credito de Cliente Canjeado
Redeemed credit cannot be greater than its total.,El credito canjeado no puede ser mayor que su total.
Redemption and Totals,Canje y Totales
Reference,Referencia
Referral Code is required,Se requiere codigo de referencia
Referral Code {0} is disabled,El codigo de referencia {0} esta deshabilitado
Referral Code {0} is not exists,El codigo de referencia {0} no existe
Refresh,Actualizar
Refresh Exchange Rate,Actualizar Tipo de Cambio
Refresh Printers,Actualizar Impresoras
Reload Now,Recargar Ahora
Reload to apply the latest changes. Your current session will be refreshed.,Recargar para aplicar los ultimos cambios.
Remaining outstanding: {0} across {1} invoice(s).,Pendiente restante: {0} a traves de {1} factura(s).
Remarks,Observaciones
Remarks are required.,Se requieren observaciones.
Remove Offer,Eliminar Oferta
Remove item,Eliminar articulo
Reorder / Purchase Suggestions,Sugerencias de Reorden/Compra
Repeat Customers,Clientes Repetidos
Repeat Rate,Tasa de Repeticion
Request Payment,Solicitar Pago
Reset,Restablecer
Reset item name,Restablecer nombre del articulo
Return Amount,Monto de Devolucion
Return Count,Conteo de Devolucion
Return Valid Until,Devolución Válida Hasta
Return count,Conteo de Devolucion
Return value will be settled back through payment methods.,El valor de devolucion se liquidara a traves de metodos de pago.
Return window passed,Ventana de devolucion pasada
Returns,Devoluciones
Returns / Voids / Discounts,Devoluciones/Anulaciones/Descuentos
Returns are only allowed until {0},Las devoluciones solo se permiten hasta {0}
Returns by Currency,Devoluciones por Moneda
Revenue,Ingresos
Review shift totals before submitting the closing entry,Revise los totales del turno antes de enviar el cierre
Round Off,Redondear
Rows:,Filas:
Rule,Regla
Sale,Venta
Sales,Ventas
Sales Person,Vendedor
Sales Person and Print,Vendedor e Imprimir
Sales Trend Report,Informe de Tendencia de Ventas
Sales processed,Ventas procesadas
Save,Guardar
Save Settings,Guardar Configuracion
Saved draft invoices will appear here.,Las facturas de borrador guardadas apareceran aqui.
Scan Error,Error de Escaneo
Scanned Code:,Código Escaneado:
Scanning items,Escaneando articulos
Scope,Alcance
Search customer,Buscar cliente
Search drafts or customers,Buscar borradores o clientes
Search invoices or customers,Buscar facturas o clientes
Search item,Buscar articulo
Search item / code,Buscar articulo/codigo
Search items or barcode,Buscar articulos o codigo de barras
Search return invoices or customers,Buscar facturas de devolucion o clientes
Search supplier,Buscar proveedor
Search unpaid invoices or customers,Buscar facturas impagadas o clientes
Select Batch,Seleccionar Lote
Select a printer to use QZ silent printing.,Seleccione una impresoras para impresión silenciosa de QZ.
Select an option on the left to view its settings.,Seleccione una opción a la izquierda para ver su configuración.
Select printer,Seleccionar impresor
Serial,Serial
Server CPU Usage:,Uso de CPU del Servidor:
Server Memory Usage:,Uso de Memoria del Servidor:
Server Uptime:,Tiempo de Actividad del Servidor:
Service Charges,Cargos de Servicio
Share,Compartir
Shift Closed Snapshot,Instantanea de Turno Cerrado
Shift Overview,Vista General del Turno
Show cart on customer-facing screen,Mostrar carrito en pantalla del cliente
Show last invoice rate,Mostrar tasa de ultima factura
Showing 0 of 0,Mostrando 0 de 0
Size:,Tamano:
Skipped Payments,Pagos Omitidos
Skipping items without barcodes,Omitiendo articulos sin codigos de barras
Slow Moving,Movimiento Lento
Slow Moving Items,Artículos de Movimiento Lento
Slow Queries:,Consultas Lentas:
Sold,Vendido
Source,Origen
Source account,Cuenta de Origen
Specific Profile,Perfil Especifico
Split Invoices,Dividir Facturas
Staff,Personal
Stock,Inventario
Stock Information,Informacion de Inventario
Stock UOM is required.,Se requiere UOM de inventario.
Submit Deposit,Enviar Deposito
Submit Expense,Enviar Gasto
Submitted,Enviado
Submitted Cash Movements,Movimientos de Efectivo Enviados
Submitted entries,Entradas Enviadas
Successfully scanned:,Escaneado exitosamente:
Suggested,Sugerido
Suggested Qty,Cant. Sugerida
Supplier,Proveedor
Supplier and dates are required.,Se requieren proveedor y fechas.
Supplier is required.,Se requiere proveedor.
Supplier name is required,Se requiere nombre de proveedor
Supplier {0} was not found.,No se encontro el proveedor {0}.
Suppliers,Proveedores
Sync All Invoices,Sincronizar Todas las Facturas
Syncing offline catalog...,Sincronizando catalogo sin conexión...
System Status,Estado del Sistema
Tables:,Tablas:
Target,Destino
Target account,Cuenta de Destino
Tax,Impuesto
Tax / Charges Report,Informe de Impuestos/Cargos
Tax Heads,Cabeceras de Impuestos
Taxable Amount,Monto Imponible
Tendered,Ofrecido
The amount paid is not complete,El monto pagado no esta completo
The invoice stayed in draft. Please review and submit it manually.,La factura permanecio en borrador. Reviselay envie manualmente.
The maximum discount allowed is,El descuento maximo permitido es
This Referral Code {0} not exists,Este codigo de referencia {0} no existe
This amount will be written off on submission.,Este monto sera castigado al enviar.
This return will be settled as customer credit instead of cashback.,Esta devolucion se liquidara como credito del cliente.
Threshold,Umbral
To Date,Hasta Fecha
Today,Hoy
Today Profit,Ganancia de Hoy
Today Sales,Ventas de Hoy
Toggle navigation drawer,Alternar cajon de navegación
Top Brand,Mejor Marca
Top Category,Mejor Categoría
Top Customers,Mejores Clientes
Top Items by Location,Mejores Artículos por Ubicacion
Top Margin,Mejor Margen
Top Profit Item,Artículo de Mayor Ganancia
Top Return Items,Mejores Artículos Devueltos
Top Sales by Cashier,Mejores Ventas por Cajero
Top Supplier,Mejor Proveedor
Total Change,Cambio Total
Total Charges,Cargos Totales
Total In,Total Entrada
Total Invoices:,Total Facturas:
Total Items,Total Artículos
Total Mpesa:,Total Mpesa:
Total Out,Total Salida
Total Payments:,Total Pagos:
Total Purchase,Total Compra
Total Selected :,Total Seleccionado:
Total Stock Qty,Cant. Total de Inventario
Total:,Total:
Totals by Invoice Currency,Totales por Moneda de Factura
Track how much cash was handed back to customers,Rastrear cuanto efectivo se devolvio a clientes
"Track recent sales, collect unpaid balances, and reopen saved work","Rastrear ventas recientes, cobrar saldos impagados y reabrir trabajo guardado"
Trans Amount is required,Se requiere monto de transaccion
Transfer,Transferir
Try adjusting your search or filters,Intente ajustar su busqueda o filtros
Try changing the date range or status filter.,Intente cambiar el rango de fechas o filtro de estado.
Unable to add offer item. Please refresh and try again.,No se puede agregar articulo de oferta.
Unable to add scanned item.,No se puede agregar articulo escaneado.
Unable to create Journal Entry for customer credit.,No se puede crear asiento para credito de cliente.
Unable to create purchase order,No se puede crear orden de compra
Unable to delete draft invoice,No se puede eliminar factura borrador
Unable to determine cash account for change payment entry.,No se puede determinar cuenta de efectivo.
Unable to determine customer receivable account for change payment entry.,No se puede determinar cuenta por cobrar.
Unable to fetch M-Pesa payments,No se pueden obtener pagos M-Pesa
Unable to fetch draft invoices,No se pueden obtener facturas borrador
Unable to fetch draft orders,No se pueden obtener ordenes borrador
Unable to fetch invoice history,No se puede obtener historial de facturas
Unable to fetch sales orders,No se pueden obtener ordenes de venta
Unable to fetch unpaid invoices,No se pueden obtener facturas impagadas
Unable to generate scale barcode,No se puede generar codigo de barras de balanza
Unable to load Credit Note {0}: {1},No se puede cargar nota de credito {0}: {1}
Unable to load Payment Entry {0}: {1},No se puede cargar pago {0}: {1}
Unable to load draft invoice,No se puede cargar factura borrador
Unable to load invoice details,No se pueden cargar detalles de factura
Unable to load the selected sales order,No se puede cargar la orden de venta seleccionada
Unable to prepare return invoice,No se puede preparar factura de devolucion
Unable to print draft invoice,No se puede imprimir factura borrador
Unable to resolve POS Opening Shift.,No se puede resolver turno de apertura POS.
Unable to resolve POS cash account from POS Profile cash mode of payment.,No se puede resolver cuenta de efectivo.
Unable to submit the selected payment,No se puede enviar el pago seleccionado
Unbranded,Sin Marca
Uncategorized,Sin Categorizar
Unknown,Desconocido
Unknown Item,Artículo Desconocido
Unknown Warehouse,Almacen Desconocido
Unlabeled Charge,Cargo Sin Etiqueta
Unpaid,Impago
Update Price List Rate,Actualizar Tasa de Lista de Precios
Update available,Actualizacion disponible
Updated,Actualizado
Use Western numerals,Usar numerales occidentales
Used:,Usado:
User must match the selected POS Opening Shift user.,El usuario debe coincidir con el usuario del turno.
Using basic camera settings due to device limitations,Usando configuración basica de camara debido a limitaciones
Variance %,Variacion %
Variant-wise,Por Variante
Variants,Variantes
View Details,Ver Detalles
View notifications,Ver Notificaciones
View offline invoices,Ver facturas sin conexión
Void Amount,Monto Anulado
Void Count,Conteo Anulado
Voids,Anulaciones
Waiting for cart items,Esperando articulos del carrito
Waiting for payment...,Esperando pago...
Walk-in Customer,Cliente Espontaneo
Warning: High cache usage may affect performance.,Advertencia: Uso alto de cache puede afectar rendimiento.
Warning: High lag may indicate heavy processing or browser slowness.,Advertencia: Alto retardo puede indicar procesamiento pesado.
Week-wise,Semanal
Weight (g),Peso (g)
Weight (grams),Peso (gramos)
Write Off Amount,Monto a Castigar
Write Off Difference Amount,Monto de Diferencia a Castigar
"Yes, Cancel sale","Si, cancelar venta"
"Yes, Close","Si, Cerrar"
You are not allowed to access this shift.,No tiene acceso a este turno.
You are not allowed to manage this cash movement record.,No tiene acceso a gestionar este movimiento de efectivo.
You are not allowed to print draft invoices,No tiene permiso para imprimir facturas borrador
You are not permitted to access POS Profile {0}.,No tiene acceso al perfil POS {0}.
You are not permitted to view dashboard data for POS Profile {0}.,No tiene acceso a datos del panel para {0}.
You are offline. Add Payment will work again when the connection is restored.,Esta sin conexión. Agregar Pago funciónara cuando se restaure la conexión.
You are trying to return more quantity for item {0} than was sold.,Esta intentando devolver mas cantidad para el articulo {0} de la vendida.
You can redeem credit up to,Puede canjear credito hasta
You can redeem up to,Puede canjear hasta
You have no notifications right now,No tiene notificaciones ahora
Your Cart,Su Carrito
actual_qty,cant_real
cache used,cache usado
commits,commits
days,días
modified_after must be a valid ISO datetime,modified_after debe ser una fecha ISO valida
sales,ventas
this item,este articulo
{0} Coupon used are {1}. Allowed quantity is exhausted,Cupon {0} usado es {1}. Cantidad permitida agotada
{0} is disabled for this POS Profile.,{0} esta deshabilitado para este perfil POS.
{0} is invalid.,{0} es invalido.
{0} must belong to company {1}.,{0} debe pertenecer a la empresa {1}.
{0} payment(s) were skipped.,{0} pago(s) fueron omitidos.
{0} {1} must be submitted before creating change payment entries.,{0} {1} debe enviarse antes de crear entradas de pago de cambio.
Account,Cuenta
Acknowledge the error to resume scanning,Aceptar el error para reanudar el escaneo
Across,A través
Action,Acción
Add on New Line,Agregar en Nueva Línea
Address Line 1,Dirección Línea 1
Address not found,Dirección no encontrada
Adjustment,Ajuste
After returns,Después de devoluciones
Against,Contra
Against Name,Nombre Contra
Age Bracket,Grupo de Edad
All Caught Up!,¡Todo al día!
All Profiles,Todos los Perfiles
All invoices are synchronized,Todas las facturas están sincronizadas
All visible invoices are fully settled.,Todas las facturas visibles están completamente liquidadas.
Allocated {0} across {1} payment(s).,Asignado {0} a través de {1} pago(s).
Allocation amount for payment {0} exceeds outstanding invoices,El monto de asignación para el pago {0} excede las facturas pendientes
Always fetch items from server (ignore local cache),Siempre obtener artículos del servidor (ignorar caché local)
Amount,Monto
Amount already received,Monto ya recibido
Amount exceeds POS Profile cash movement max amount.,El monto excede el monto máximo de movimiento de efectivo del perfil POS.
